Latitude,Longitude,Litologi,b_1,b_2,b_3,b_4,b_5,b_6,b_7,b_8,b_9,b_10,b_11,b_12,b_13,b_14,b_15,b_16,b_17,b_18,b_19,b_20,b_21,b_22,b_23,b_24
-7.049378,108.595543,Sandstone,0.04920435,0.075975001,0.059812501,0.118687503,0.252257138,0.302827269,0.310714275,0.330473334,0.230619997,0.129842505,-0.162558615,-0.595479608,0.162558615,0.471544385,2.939090729,-8.969129562,-15.5926199,0.575216353,127.0375137,1.820959091,340.3246155,1.000505686,0.521671653,-0.478834033
-7.05027,108.59461,Siltstone,0.048625,0.072535716,0.064563632,0.123599999,0.220899999,0.251945466,0.248228565,0.275511116,0.19765,0.110200003,-0.124033727,-0.529516459,0.124033727,0.354986787,2.257664204,-9.889251709,-16.53348351,0.598134816,129.0618744,2.390184402,342.0950928,1.000872016,0.476698041,-0.524173975
-7.068187,108.59365,Sandstone,0.037244827,0.060693748,0.035352033,0.100024998,0.279447377,0.345499992,0.34244445,0.377041191,0.193000004,0.091370001,-0.283315569,-0.700738072,0.283315569,0.590554416,4.672120094,-7.42170763,-13.90877914,0.533598781,442.5131531,17.90623093,183.857132,1.050974727,0.496566564,-0.554408133
-7.067033,108.595422,Sandstone_karbonatan,0.052309092,0.079806454,0.063722223,0.126475006,0.290874988,0.349966675,0.341439992,0.372771442,0.229439989,0.124112502,-0.211293072,-0.607286751,0.211293072,0.513389707,3.098542213,-8.972887039,-15.22501469,0.589351594,443.2423096,25.39390564,143.9281921,1.106989026,0.5020262,-0.604962826
-7.066752,108.598773,Siltstone,0.040726088,0.064263158,0.049072221,0.109675698,0.268072724,0.326240003,0.323616654,0.353570014,0.212549999,0.102883331,-0.221636787,-0.661802173,0.221636787,0.514767706,3.937283993,-5.330930233,-12.20905495,0.436637431,382.5170593,17.54120064,95.25305939,1.048960447,0.463915586,-0.58504492
-7.063192,108.598207,Sandstone,0.025133334,0.036850002,0.021825926,0.068322219,0.228149995,0.290816665,0.271218181,0.322649986,0.154783338,0.068309091,-0.281413972,-0.769490361,0.281413972,0.4917171,6.577528,-5.813887119,-11.94455242,0.486739635,396.3248596,16.92782211,73.57794189,1.045294642,0.493999749,-0.551294863
-7.051908,108.595853,Siltstone_karbonatan,0.04487,0.076099999,0.056081817,0.130946666,0.263574988,0.303979993,0.316325009,0.335116655,0.235412493,0.123733334,-0.158322915,-0.614620924,0.158322915,0.574701905,3.188040257,-8.479948044,-15.34887505,0.552480102,139.9009094,8.391616821,310.1877136,1.010942936,0.438139558,-0.572803319
-7.049875,108.600352,Siltstone_karbonatan,0.040831581,0.06741,0.048,0.126770005,0.259316653,0.301999986,0.325753838,0.32763499,0.224366665,0.124525003,-0.193609744,-0.648216248,0.193609744,0.518689454,3.68542552,-7.084165573,-14.79455566,0.47883597,119.8741989,5.229298115,64.27037048,1.005605459,0.489730656,-0.515874743
-7.051466,108.600179,Sandstone,0.060887501,0.087733336,0.076480001,0.114842854,0.228322223,0.267485708,0.274540007,0.294585705,0.189636365,0.096160002,-0.11564108,-0.456103951,0.11564108,0.330313891,1.677174687,-11.15470123,-18.0674572,0.617391884,131.5904846,7.480925083,46.75746536,1.008771539,0.532771111,-0.476000428
-7.027451,108.576546,Sandstone,0.052476469,0.076154545,0.069088235,0.112122729,0.181504995,0.213066667,0.236129418,0.232628569,0.173957139,0.111513332,-0.148828208,-0.505327821,0.148828208,0.331801653,2.043102264,-6.918375492,-13.91170502,0.497306049,132.273468,1.142288685,85.50905609,1.000211716,0.519466043,-0.480745673
